"ID","Orden","Fase","Módulo","Nivel","Semana sugerida","Lección","Tema","Objetivo de aprendizaje","Conceptos clave","Ejercicio guiado","Tarea / Entregable","Proyecto asociado","Herramientas","Duración clase (h)","Práctica sugerida (h)","Prioridad","Estado"
"UNE4D26","87","Diplomado UneWeb","Programación Full Stack con Python e IA","Nivel 4 — JavaScript Nivel I","Octubre 2026 · Día 26","26","Clase diaria 26: Fundamentos de métodos push, pop y splice","Comprender y aplicar fundamentos de métodos push, pop y splice dentro del objetivo del Nivel 4.","Fundamentos de métodos push, pop y splice","Realizar un ejemplo guiado de fundamentos de métodos push, pop y splice.","Resolver una práctica corta y responder preguntas de comprobación.","Miniaplicación interactiva","JavaScript, VS Code, navegador","1,5","1,","Alta","Pendiente"
"UNE4D27","88","Diplomado UneWeb","Programación Full Stack con Python e IA","Nivel 4 — JavaScript Nivel I","Octubre 2026 · Día 27","27","Clase diaria 27: Ejercicio guiado de métodos push, pop y splice","Comprender y aplicar ejercicio guiado de métodos push, pop y splice dentro del objetivo del Nivel 4.","Ejercicio guiado de métodos push, pop y splice","Realizar un ejemplo guiado de ejercicio guiado de métodos push, pop y splice.","Resolver una práctica corta y responder preguntas de comprobación.","Miniaplicación interactiva","JavaScript, VS Code, navegador","1,5","1,","Alta","Pendiente"
"UNE4D28","89","Diplomado UneWeb","Programación Full Stack con Python e IA","Nivel 4 — JavaScript Nivel I","Octubre 2026 · Día 28","28","Clase diaria 28: Fundamentos de funciones, parámetros y retorno","Comprender y aplicar fundamentos de funciones, parámetros y retorno dentro del objetivo del Nivel 4.","Fundamentos de funciones, parámetros y retorno","Realizar un ejemplo guiado de fundamentos de funciones, parámetros y retorno.","Resolver una práctica corta y responder preguntas de comprobación.","Miniaplicación interactiva","JavaScript, VS Code, navegador","1,5","1,","Alta","Pendiente"
"UNE4D29","90","Diplomado UneWeb","Programación Full Stack con Python e IA","Nivel 4 — JavaScript Nivel I","Octubre 2026 · Día 29","29","Clase diaria 29: Fundamentos de Document Object Model: selección y modificación de elementos","Comprender y aplicar fundamentos de document object model: selección y modificación de elementos dentro del objetivo del Nivel 4.","Fundamentos de Document Object Model: selección y modificación de elementos","Realizar un ejemplo guiado de fundamentos de document object model: selección y modificación de elementos.","Resolver una práctica corta y responder preguntas de comprobación.","Miniaplicación interactiva","JavaScript, VS Code, navegador","1,5","1,","Alta","Pendiente"
"UNE4D30","91","Diplomado UneWeb","Programación Full Stack con Python e IA","Nivel 4 — JavaScript Nivel I","Octubre 2026 · Día 30","30","Clase diaria 30: Práctica P5: proyecto de mini-aplicación interactiva con el DOM","Completar la práctica p5: proyecto de mini-aplicación interactiva con el dom y demostrar los conocimientos acumulados.","Práctica P5: proyecto de mini-aplicación interactiva con el DOM","Desarrollar paso a paso la práctica p5: proyecto de mini-aplicación interactiva con el dom.","Entregar la evidencia funcional de la práctica p5: proyecto de mini-aplicación interactiva con el dom.","Miniaplicación interactiva","JavaScript, VS Code, navegador","1,5","1,","Alta","Pendiente"
"UNE4D31","92","Diplomado UneWeb","Programación Full Stack con Python e IA","Nivel 4 — JavaScript Nivel I","Octubre 2026 · Día 31","31","Clase diaria 31: Evaluación integral, corrección de errores y cierre del Nivel 4","Comprender y aplicar evaluación integral, corrección de errores y cierre del nivel 4 dentro del objetivo del Nivel 4.","Evaluación integral, corrección de errores y cierre del Nivel 4","Realizar un ejemplo guiado de evaluación integral, corrección de errores y cierre del nivel 4.","Resolver una práctica corta y responder preguntas de comprobación.","Miniaplicación interactiva","JavaScript, VS Code, navegador","1,5","1,","Alta","Pendiente"
"UNE5D01","93","Diplomado UneWeb","Programación Full Stack con Python e IA","Nivel 5 — JavaScript Nivel II","Noviembre 2026 · Día 1","1","Clase diaria 1: Introducción al Nivel 5: objetivos, herramientas y proyecto del mes","Comprender y aplicar introducción al nivel 5: objetivos, herramientas y proyecto del mes dentro del objetivo del Nivel 5.","Introducción al Nivel 5: objetivos, herramientas y proyecto del mes","Realizar un ejemplo guiado de introducción al nivel 5: objetivos, herramientas y proyecto del mes.","Resolver una práctica corta y responder preguntas de comprobación.","Aplicación JavaScript persistente","JavaScript, APIs, VS Code, navegador","1,5","1,","Alta","Pendiente"
"UNE5D02","94","Diplomado UneWeb","Programación Full Stack con Python e IA","Nivel 5 — JavaScript Nivel II","Noviembre 2026 · Día 2","2","Clase diaria 2: Fundamentos de funciones flecha","Comprender y aplicar fundamentos de funciones flecha dentro del objetivo del Nivel 5.","Fundamentos de funciones flecha","Realizar un ejemplo guiado de fundamentos de funciones flecha.","Resolver una práctica corta y responder preguntas de comprobación.","Aplicación JavaScript persistente","JavaScript, APIs, VS Code, navegador","1,5","1,","Alta","Pendiente"
"UNE5D03","95","Diplomado UneWeb","Programación Full Stack con Python e IA","Nivel 5 — JavaScript Nivel II","Noviembre 2026 · Día 3","3","Clase diaria 3: Ejercicio guiado de funciones flecha","Comprender y aplicar ejercicio guiado de funciones flecha dentro del objetivo del Nivel 5.","Ejercicio guiado de funciones flecha","Realizar un ejemplo guiado de ejercicio guiado de funciones flecha.","Resolver una práctica corta y responder preguntas de comprobación.","Aplicación JavaScript persistente","JavaScript, APIs, VS Code, navegador","1,5","1,","Alta","Pendiente"
"UNE5D04","96","Diplomado UneWeb","Programación Full Stack con Python e IA","Nivel 5 — JavaScript Nivel II","Noviembre 2026 · Día 4","4","Clase diaria 4: Fundamentos de funciones anónimas y callbacks","Comprender y aplicar fundamentos de funciones anónimas y callbacks dentro del objetivo del Nivel 5.","Fundamentos de funciones anónimas y callbacks","Realizar un ejemplo guiado de fundamentos de funciones anónimas y callbacks.","Resolver una práctica corta y responder preguntas de comprobación.","Aplicación JavaScript persistente","JavaScript, APIs, VS Code, navegador","1,5","1,","Alta","Pendiente"
"UNE5D05","97","Diplomado UneWeb","Programación Full Stack con Python e IA","Nivel 5 — JavaScript Nivel II","Noviembre 2026 · Día 5","5","Clase diaria 5: Ejercicio guiado de funciones anónimas y callbacks","Comprender y aplicar ejercicio guiado de funciones anónimas y callbacks dentro del objetivo del Nivel 5.","Ejercicio guiado de funciones anónimas y callbacks","Realizar un ejemplo guiado de ejercicio guiado de funciones anónimas y callbacks.","Resolver una práctica corta y responder preguntas de comprobación.","Aplicación JavaScript persistente","JavaScript, APIs, VS Code, navegador","1,5","1,","Alta","Pendiente"
"UNE5D06","98","Diplomado UneWeb","Programación Full Stack con Python e IA","Nivel 5 — JavaScript Nivel II","Noviembre 2026 · Día 6","6","Clase diaria 6: Fundamentos de funciones recursivas","Comprender y aplicar fundamentos de funciones recursivas dentro del objetivo del Nivel 5.","Fundamentos de funciones recursivas","Realizar un ejemplo guiado de fundamentos de funciones recursivas.","Resolver una práctica corta y responder preguntas de comprobación.","Aplicación JavaScript persistente","JavaScript, APIs, VS Code, navegador","1,5","1,","Alta","Pendiente"
"UNE5D07","99","Diplomado UneWeb","Programación Full Stack con Python e IA","Nivel 5 — JavaScript Nivel II","Noviembre 2026 · Día 7","7","Clase diaria 7: Ejercicio guiado de funciones recursivas","Comprender y aplicar ejercicio guiado de funciones recursivas dentro del objetivo del Nivel 5.","Ejercicio guiado de funciones recursivas","Realizar un ejemplo guiado de ejercicio guiado de funciones recursivas.","Resolver una práctica corta y responder preguntas de comprobación.","Aplicación JavaScript persistente","JavaScript, APIs, VS Code, navegador","1,5","1,","Alta","Pendiente"
"UNE5D08","100","Diplomado UneWeb","Programación Full Stack con Python e IA","Nivel 5 — JavaScript Nivel II","Noviembre 2026 · Día 8","8","Clase diaria 8: Práctica P1: refactorización de código usando map(), filter() y reduce()","Completar la práctica p1: refactorización de código usando map(), filter() y reduce() y demostrar los conocimientos acumulados.","Práctica P1: refactorización de código usando map(), filter() y reduce()","Desarrollar paso a paso la práctica p1: refactorización de código usando map(), filter() y reduce().","Entregar la evidencia funcional de la práctica p1: refactorización de código usando map(), filter() y reduce().","Aplicación JavaScript persistente","JavaScript, APIs, VS Code, navegador","1,5","1,","Alta","Pendiente"
"UNE5D09","101","Diplomado UneWeb","Programación Full Stack con Python e IA","Nivel 5 — JavaScript Nivel II","Noviembre 2026 · Día 9","9","Clase diaria 9: Fundamentos de creación y manipulación de objetos","Comprender y aplicar fundamentos de creación y manipulación de objetos dentro del objetivo del Nivel 5.","Fundamentos de creación y manipulación de objetos","Realizar un ejemplo guiado de fundamentos de creación y manipulación de objetos.","Resolver una práctica corta y responder preguntas de comprobación.","Aplicación JavaScript persistente","JavaScript, APIs, VS Code, navegador","1,5","1,","Alta","Pendiente"
"UNE5D10","102","Diplomado UneWeb","Programación Full Stack con Python e IA","Nivel 5 — JavaScript Nivel II","Noviembre 2026 · Día 10","10","Clase diaria 10: Ejercicio guiado de creación y manipulación de objetos","Comprender y aplicar ejercicio guiado de creación y manipulación de objetos dentro del objetivo del Nivel 5.","Ejercicio guiado de creación y manipulación de objetos","Realizar un ejemplo guiado de ejercicio guiado de creación y manipulación de objetos.","Resolver una práctica corta y responder preguntas de comprobación.","Aplicación JavaScript persistente","JavaScript, APIs, VS Code, navegador","1,5","1,","Alta","Pendiente"
"UNE5D11","103","Diplomado UneWeb","Programación Full Stack con Python e IA","Nivel 5 — JavaScript Nivel II","Noviembre 2026 · Día 11","11","Clase diaria 11: Fundamentos de método map()","Comprender y aplicar fundamentos de método map() dentro del objetivo del Nivel 5.","Fundamentos de método map()","Realizar un ejemplo guiado de fundamentos de método map().","Resolver una práctica corta y responder preguntas de comprobación.","Aplicación JavaScript persistente","JavaScript, APIs, VS Code, navegador","1,5","1,","Alta","Pendiente"
"UNE5D12","104","Diplomado UneWeb","Programación Full Stack con Python e IA","Nivel 5 — JavaScript Nivel II","Noviembre 2026 · Día 12","12","Clase diaria 12: Ejercicio guiado de método map()","Comprender y aplicar ejercicio guiado de método map() dentro del objetivo del Nivel 5.","Ejercicio guiado de método map()","Realizar un ejemplo guiado de ejercicio guiado de método map().","Resolver una práctica corta y responder preguntas de comprobación.","Aplicación JavaScript persistente","JavaScript, APIs, VS Code, navegador","1,5","1,","Alta","Pendiente"
"UNE5D13","105","Diplomado UneWeb","Programación Full Stack con Python e IA","Nivel 5 — JavaScript Nivel II","Noviembre 2026 · Día 13","13","Clase diaria 13: Fundamentos de método filter()","Comprender y aplicar fundamentos de método filter() dentro del objetivo del Nivel 5.","Fundamentos de método filter()","Realizar un ejemplo guiado de fundamentos de método filter().","Resolver una práctica corta y responder preguntas de comprobación.","Aplicación JavaScript persistente","JavaScript, APIs, VS Code, navegador","1,5","1,","Alta","Pendiente"
"UNE5D14","106","Diplomado UneWeb","Programación Full Stack con Python e IA","Nivel 5 — JavaScript Nivel II","Noviembre 2026 · Día 14","14","Clase diaria 14: Ejercicio guiado de método filter()","Comprender y aplicar ejercicio guiado de método filter() dentro del objetivo del Nivel 5.","Ejercicio guiado de método filter()","Realizar un ejemplo guiado de ejercicio guiado de método filter().","Resolver una práctica corta y responder preguntas de comprobación.","Aplicación JavaScript persistente","JavaScript, APIs, VS Code, navegador","1,5","1,","Alta","Pendiente"
"UNE5D15","107","Diplomado UneWeb","Programación Full Stack con Python e IA","Nivel 5 — JavaScript Nivel II","Noviembre 2026 · Día 15","15","Clase diaria 15: Práctica P2: aplicación con eventos de teclado, ratón y formulario","Completar la práctica p2: aplicación con eventos de teclado, ratón y formulario y demostrar los conocimientos acumulados.","Práctica P2: aplicación con eventos de teclado, ratón y formulario","Desarrollar paso a paso la práctica p2: aplicación con eventos de teclado, ratón y formulario.","Entregar la evidencia funcional de la práctica p2: aplicación con eventos de teclado, ratón y formulario.","Aplicación JavaScript persistente","JavaScript, APIs, VS Code, navegador","1,5","1,","Alta","Pendiente"
"UNE5D16","108","Diplomado UneWeb","Programación Full Stack con Python e IA","Nivel 5 — JavaScript Nivel II","Noviembre 2026 · Día 16","16","Clase diaria 16: Fundamentos de método reduce()","Comprender y aplicar fundamentos de método reduce() dentro del objetivo del Nivel 5.","Fundamentos de método reduce()","Realizar un ejemplo guiado de fundamentos de método reduce().","Resolver una práctica corta y responder preguntas de comprobación.","Aplicación JavaScript persistente","JavaScript, APIs, VS Code, navegador","1,5","1,","Alta","Pendiente"
"UNE5D17","109","Diplomado UneWeb","Programación Full Stack con Python e IA","Nivel 5 — JavaScript Nivel II","Noviembre 2026 · Día 17","17","Clase diaria 17: Ejercicio guiado de método reduce()","Comprender y aplicar ejercicio guiado de método reduce() dentro del objetivo del Nivel 5.","Ejercicio guiado de método reduce()","Realizar un ejemplo guiado de ejercicio guiado de método reduce().","Resolver una práctica corta y responder preguntas de comprobación.","Aplicación JavaScript persistente","JavaScript, APIs, VS Code, navegador","1,5","1,","Alta","Pendiente"
"UNE5D18","110","Diplomado UneWeb","Programación Full Stack con Python e IA","Nivel 5 — JavaScript Nivel II","Noviembre 2026 · Día 18","18","Clase diaria 18: Fundamentos de eventos de teclado, ratón y formularios","Comprender y aplicar fundamentos de eventos de teclado, ratón y formularios dentro del objetivo del Nivel 5.","Fundamentos de eventos de teclado, ratón y formularios","Realizar un ejemplo guiado de fundamentos de eventos de teclado, ratón y formularios.","Resolver una práctica corta y responder preguntas de comprobación.","Aplicación JavaScript persistente","JavaScript, APIs, VS Code, navegador","1,5","1,","Alta","Pendiente"
"UNE5D19","111","Diplomado UneWeb","Programación Full Stack con Python e IA","Nivel 5 — JavaScript Nivel II","Noviembre 2026 · Día 19","19","Clase diaria 19: Ejercicio guiado de eventos de teclado, ratón y formularios","Comprender y aplicar ejercicio guiado de eventos de teclado, ratón y formularios dentro del objetivo del Nivel 5.","Ejercicio guiado de eventos de teclado, ratón y formularios","Realizar un ejemplo guiado de ejercicio guiado de eventos de teclado, ratón y formularios.","Resolver una práctica corta y responder preguntas de comprobación.","Aplicación JavaScript persistente","JavaScript, APIs, VS Code, navegador","1,5","1,","Alta","Pendiente"
"UNE5D20","112","Diplomado UneWeb","Programación Full Stack con Python e IA","Nivel 5 — JavaScript Nivel II","Noviembre 2026 · Día 20","20","Clase diaria 20: Práctica P3: consumo de una API externa con async/await","Completar la práctica p3: consumo de una api externa con async/await y demostrar los conocimientos acumulados.","Práctica P3: consumo de una API externa con async/await","Desarrollar paso a paso la práctica p3: consumo de una api externa con async/await.","Entregar la evidencia funcional de la práctica p3: consumo de una api externa con async/await.","Aplicación JavaScript persistente","JavaScript, APIs, VS Code, navegador","1,5","1,","Alta","Pendiente"
"UNE5D21","113","Diplomado UneWeb","Programación Full Stack con Python e IA","Nivel 5 — JavaScript Nivel II","Noviembre 2026 · Día 21","21","Clase diaria 21: Fundamentos de promesas con then y catch","Comprender y aplicar fundamentos de promesas con then y catch dentro del objetivo del Nivel 5.","Fundamentos de promesas con then y catch","Realizar un ejemplo guiado de fundamentos de promesas con then y catch.","Resolver una práctica corta y responder preguntas de comprobación.","Aplicación JavaScript persistente","JavaScript, APIs, VS Code, navegador","1,5","1,","Alta","Pendiente"
"UNE5D22","114","Diplomado UneWeb","Programación Full Stack con Python e IA","Nivel 5 — JavaScript Nivel II","Noviembre 2026 · Día 22","22","Clase diaria 22: Ejercicio guiado de promesas con then y catch","Comprender y aplicar ejercicio guiado de promesas con then y catch dentro del objetivo del Nivel 5.","Ejercicio guiado de promesas con then y catch","Realizar un ejemplo guiado de ejercicio guiado de promesas con then y catch.","Resolver una práctica corta y responder preguntas de comprobación.","Aplicación JavaScript persistente","JavaScript, APIs, VS Code, navegador","1,5","1,","Alta","Pendiente"
"UNE5D23","115","Diplomado UneWeb","Programación Full Stack con Python e IA","Nivel 5 — JavaScript Nivel II","Noviembre 2026 · Día 23","23","Clase diaria 23: Fundamentos de async y await","Comprender y aplicar fundamentos de async y await dentro del objetivo del Nivel 5.","Fundamentos de async y await","Realizar un ejemplo guiado de fundamentos de async y await.","Resolver una práctica corta y responder preguntas de comprobación.","Aplicación JavaScript persistente","JavaScript, APIs, VS Code, navegador","1,5","1,","Alta","Pendiente"
"UNE5D24","116","Diplomado UneWeb","Programación Full Stack con Python e IA","Nivel 5 — JavaScript Nivel II","Noviembre 2026 · Día 24","24","Clase diaria 24: Ejercicio guiado de async y await","Comprender y aplicar ejercicio guiado de async y await dentro del objetivo del Nivel 5.","Ejercicio guiado de async y await","Realizar un ejemplo guiado de ejercicio guiado de async y await.","Resolver una práctica corta y responder preguntas de comprobación.","Aplicación JavaScript persistente","JavaScript, APIs, VS Code, navegador","1,5","1,","Alta","Pendiente"
"UNE5D25","117","Diplomado UneWeb","Programación Full Stack con Python e IA","Nivel 5 — JavaScript Nivel II","Noviembre 2026 · Día 25","25","Clase diaria 25: Fundamentos de manejo de errores con try, catch y finally","Comprender y aplicar fundamentos de manejo de errores con try, catch y finally dentro del objetivo del Nivel 5.","Fundamentos de manejo de errores con try, catch y finally","Realizar un ejemplo guiado de fundamentos de manejo de errores con try, catch y finally.","Resolver una práctica corta y responder preguntas de comprobación.","Aplicación JavaScript persistente","JavaScript, APIs, VS Code, navegador","1,5","1,","Alta","Pendiente"
"UNE5D26","118","Diplomado UneWeb","Programación Full Stack con Python e IA","Nivel 5 — JavaScript Nivel II","Noviembre 2026 · Día 26","26","Clase diaria 26: Práctica P4: sistema de clases con herencia en JavaScript","Completar la práctica p4: sistema de clases con herencia en javascript y demostrar los conocimientos acumulados.","Práctica P4: sistema de clases con herencia en JavaScript","Desarrollar paso a paso la práctica p4: sistema de clases con herencia en javascript.","Entregar la evidencia funcional de la práctica p4: sistema de clases con herencia en javascript.","Aplicación JavaScript persistente","JavaScript, APIs, VS Code, navegador","1,5","1,","Alta","Pendiente"
"UNE5D27","119","Diplomado UneWeb","Programación Full Stack con Python e IA","Nivel 5 — JavaScript Nivel II","Noviembre 2026 · Día 27","27","Clase diaria 27: Fundamentos de clases y constructores","Comprender y aplicar fundamentos de clases y constructores dentro del objetivo del Nivel 5.","Fundamentos de clases y constructores","Realizar un ejemplo guiado de fundamentos de clases y constructores.","Resolver una práctica corta y responder preguntas de comprobación.","Aplicación JavaScript persistente","JavaScript, APIs, VS Code, navegador","1,5","1,","Alta","Pendiente"
"UNE5D28","120","Diplomado UneWeb","Programación Full Stack con Python e IA","Nivel 5 — JavaScript Nivel II","Noviembre 2026 · Día 28","28","Clase diaria 28: Fundamentos de herencia y reutilización de clases","Comprender y aplicar fundamentos de herencia y reutilización de clases dentro del objetivo del Nivel 5.","Fundamentos de herencia y reutilización de clases","Realizar un ejemplo guiado de fundamentos de herencia y reutilización de clases.","Resolver una práctica corta y responder preguntas de comprobación.","Aplicación JavaScript persistente","JavaScript, APIs, VS Code, navegador","1,5","1,","Alta","Pendiente"
"UNE5D29","121","Diplomado UneWeb","Programación Full Stack con Python e IA","Nivel 5 — JavaScript Nivel II","Noviembre 2026 · Día 29","29","Clase diaria 29: Fundamentos de persistencia con LocalStorage","Comprender y aplicar fundamentos de persistencia con localstorage dentro del objetivo del Nivel 5.","Fundamentos de persistencia con LocalStorage","Realizar un ejemplo guiado de fundamentos de persistencia con localstorage.","Resolver una práctica corta y responder preguntas de comprobación.","Aplicación JavaScript persistente","JavaScript, APIs, VS Code, navegador","1,5","1,","Alta","Pendiente"
"UNE5D30","122","Diplomado UneWeb","Programación Full Stack con Python e IA","Nivel 5 — JavaScript Nivel II","Noviembre 2026 · Día 30","30","Clase diaria 30: Práctica P5: proyecto de aplicación con persistencia en LocalStorage","Completar la práctica p5: proyecto de aplicación con persistencia en localstorage y demostrar los conocimientos acumulados.","Práctica P5: proyecto de aplicación con persistencia en LocalStorage","Desarrollar paso a paso la práctica p5: proyecto de aplicación con persistencia en localstorage.","Entregar la evidencia funcional de la práctica p5: proyecto de aplicación con persistencia en localstorage.","Aplicación JavaScript persistente","JavaScript, APIs, VS Code, navegador","1,5","1,","Alta","Pendiente"
"UNE6D01","123","Diplomado UneWeb","Programación Full Stack con Python e IA","Nivel 6 — MySQL","Diciembre 2026 · Día 1","1","Clase diaria 1: Introducción al Nivel 6: objetivos, herramientas y proyecto del mes","Comprender y aplicar introducción al nivel 6: objetivos, herramientas y proyecto del mes dentro del objetivo del Nivel 6.","Introducción al Nivel 6: objetivos, herramientas y proyecto del mes","Realizar un ejemplo guiado de introducción al nivel 6: objetivos, herramientas y proyecto del mes.","Resolver una práctica corta y responder preguntas de comprobación.","Base de datos para aplicación real","MySQL, MySQL Workbench, SQL","1,5","1,","Alta","Pendiente"
"UNE6D02","124","Diplomado UneWeb","Programación Full Stack con Python e IA","Nivel 6 — MySQL","Diciembre 2026 · Día 2","2","Clase diaria 2: Fundamentos de modelo relacional y diseño de una base de datos","Comprender y aplicar fundamentos de modelo relacional y diseño de una base de datos dentro del objetivo del Nivel 6.","Fundamentos de modelo relacional y diseño de una base de datos","Realizar un ejemplo guiado de fundamentos de modelo relacional y diseño de una base de datos.","Resolver una práctica corta y responder preguntas de comprobación.","Base de datos para aplicación real","MySQL, MySQL Workbench, SQL","1,5","1,","Alta","Pendiente"
"UNE6D03","125","Diplomado UneWeb","Programación Full Stack con Python e IA","Nivel 6 — MySQL","Diciembre 2026 · Día 3","3","Clase diaria 3: Ejercicio guiado de modelo relacional y diseño de una base de datos","Comprender y aplicar ejercicio guiado de modelo relacional y diseño de una base de datos dentro del objetivo del Nivel 6.","Ejercicio guiado de modelo relacional y diseño de una base de datos","Realizar un ejemplo guiado de ejercicio guiado de modelo relacional y diseño de una base de datos.","Resolver una práctica corta y responder preguntas de comprobación.","Base de datos para aplicación real","MySQL, MySQL Workbench, SQL","1,5","1,","Alta","Pendiente"
"UNE6D04","126","Diplomado UneWeb","Programación Full Stack con Python e IA","Nivel 6 — MySQL","Diciembre 2026 · Día 4","4","Clase diaria 4: Fundamentos de creación de bases de datos","Comprender y aplicar fundamentos de creación de bases de datos dentro del objetivo del Nivel 6.","Fundamentos de creación de bases de datos","Realizar un ejemplo guiado de fundamentos de creación de bases de datos.","Resolver una práctica corta y responder preguntas de comprobación.","Base de datos para aplicación real","MySQL, MySQL Workbench, SQL","1,5","1,","Alta","Pendiente"
"UNE6D05","127","Diplomado UneWeb","Programación Full Stack con Python e IA","Nivel 6 — MySQL","Diciembre 2026 · Día 5","5","Clase diaria 5: Ejercicio guiado de creación de bases de datos","Comprender y aplicar ejercicio guiado de creación de bases de datos dentro del objetivo del Nivel 6.","Ejercicio guiado de creación de bases de datos","Realizar un ejemplo guiado de ejercicio guiado de creación de bases de datos.","Resolver una práctica corta y responder preguntas de comprobación.","Base de datos para aplicación real","MySQL, MySQL Workbench, SQL","1,5","1,","Alta","Pendiente"
"UNE6D06","128","Diplomado UneWeb","Programación Full Stack con Python e IA","Nivel 6 — MySQL","Diciembre 2026 · Día 6","6","Clase diaria 6: Fundamentos de creación de tablas y tipos de datos","Comprender y aplicar fundamentos de creación de tablas y tipos de datos dentro del objetivo del Nivel 6.","Fundamentos de creación de tablas y tipos de datos","Realizar un ejemplo guiado de fundamentos de creación de tablas y tipos de datos.","Resolver una práctica corta y responder preguntas de comprobación.","Base de datos para aplicación real","MySQL, MySQL Workbench, SQL","1,5","1,","Alta","Pendiente"
"UNE6D07","129","Diplomado UneWeb","Programación Full Stack con Python e IA","Nivel 6 — MySQL","Diciembre 2026 · Día 7","7","Clase diaria 7: Ejercicio guiado de creación de tablas y tipos de datos","Comprender y aplicar ejercicio guiado de creación de tablas y tipos de datos dentro del objetivo del Nivel 6.","Ejercicio guiado de creación de tablas y tipos de datos","Realizar un ejemplo guiado de ejercicio guiado de creación de tablas y tipos de datos.","Resolver una práctica corta y responder preguntas de comprobación.","Base de datos para aplicación real","MySQL, MySQL Workbench, SQL","1,5","1,","Alta","Pendiente"
"UNE6D08","130","Diplomado UneWeb","Programación Full Stack con Python e IA","Nivel 6 — MySQL","Diciembre 2026 · Día 8","8","Clase diaria 8: Práctica P1: diseño y creación de una base de datos con tablas relacionadas","Completar la práctica p1: diseño y creación de una base de datos con tablas relacionadas y demostrar los conocimientos acumulados.","Práctica P1: diseño y creación de una base de datos con tablas relacionadas","Desarrollar paso a paso la práctica p1: diseño y creación de una base de datos con tablas relacionadas.","Entregar la evidencia funcional de la práctica p1: diseño y creación de una base de datos con tablas relacionadas.","Base de datos para aplicación real","MySQL, MySQL Workbench, SQL","1,5","1,","Alta","Pendiente"
"UNE6D09","131","Diplomado UneWeb","Programación Full Stack con Python e IA","Nivel 6 — MySQL","Diciembre 2026 · Día 9","9","Clase diaria 9: Fundamentos de INSERT y carga de datos","Comprender y aplicar fundamentos de insert y carga de datos dentro del objetivo del Nivel 6.","Fundamentos de INSERT y carga de datos","Realizar un ejemplo guiado de fundamentos de insert y carga de datos.","Resolver una práctica corta y responder preguntas de comprobación.","Base de datos para aplicación real","MySQL, MySQL Workbench, SQL","1,5","1,","Alta","Pendiente"
"UNE6D10","132","Diplomado UneWeb","Programación Full Stack con Python e IA","Nivel 6 — MySQL","Diciembre 2026 · Día 10","10","Clase diaria 10: Ejercicio guiado de INSERT y carga de datos","Comprender y aplicar ejercicio guiado de insert y carga de datos dentro del objetivo del Nivel 6.","Ejercicio guiado de INSERT y carga de datos","Realizar un ejemplo guiado de ejercicio guiado de insert y carga de datos.","Resolver una práctica corta y responder preguntas de comprobación.","Base de datos para aplicación real","MySQL, MySQL Workbench, SQL","1,5","1,","Alta","Pendiente"
"UNE6D11","133","Diplomado UneWeb","Programación Full Stack con Python e IA","Nivel 6 — MySQL","Diciembre 2026 · Día 11","11","Clase diaria 11: Fundamentos de SELECT, filtros y ordenamiento","Comprender y aplicar fundamentos de select, filtros y ordenamiento dentro del objetivo del Nivel 6.","Fundamentos de SELECT, filtros y ordenamiento","Realizar un ejemplo guiado de fundamentos de select, filtros y ordenamiento.","Resolver una práctica corta y responder preguntas de comprobación.","Base de datos para aplicación real","MySQL, MySQL Workbench, SQL","1,5","1,","Alta","Pendiente"
"UNE6D12","134","Diplomado UneWeb","Programación Full Stack con Python e IA","Nivel 6 — MySQL","Diciembre 2026 · Día 12","12","Clase diaria 12: Ejercicio guiado de SELECT, filtros y ordenamiento","Comprender y aplicar ejercicio guiado de select, filtros y ordenamiento dentro del objetivo del Nivel 6.","Ejercicio guiado de SELECT, filtros y ordenamiento","Realizar un ejemplo guiado de ejercicio guiado de select, filtros y ordenamiento.","Resolver una práctica corta y responder preguntas de comprobación.","Base de datos para aplicación real","MySQL, MySQL Workbench, SQL","1,5","1,","Alta","Pendiente"
"UNE6D13","135","Diplomado UneWeb","Programación Full Stack con Python e IA","Nivel 6 — MySQL","Diciembre 2026 · Día 13","13","Clase diaria 13: Fundamentos de UPDATE seguro de registros","Comprender y aplicar fundamentos de update seguro de registros dentro del objetivo del Nivel 6.","Fundamentos de UPDATE seguro de registros","Realizar un ejemplo guiado de fundamentos de update seguro de registros.","Resolver una práctica corta y responder preguntas de comprobación.","Base de datos para aplicación real","MySQL, MySQL Workbench, SQL","1,5","1,","Alta","Pendiente"
"UNE6D14","136","Diplomado UneWeb","Programación Full Stack con Python e IA","Nivel 6 — MySQL","Diciembre 2026 · Día 14","14","Clase diaria 14: Ejercicio guiado de UPDATE seguro de registros","Comprender y aplicar ejercicio guiado de update seguro de registros dentro del objetivo del Nivel 6.","Ejercicio guiado de UPDATE seguro de registros","Realizar un ejemplo guiado de ejercicio guiado de update seguro de registros.","Resolver una práctica corta y responder preguntas de comprobación.","Base de datos para aplicación real","MySQL, MySQL Workbench, SQL","1,5","1,","Alta","Pendiente"
